edad,educ,wage
61,13,1813.2993561577516
62,10,1998.8129947263642
71,8,2889.919637507818
71,1,3703.2675602289446
71,14,2107.742556647974
33,4,1630.9021146652965
37,9,2294.775755049777
19,8,2969.1914579757668
51,2,2606.2236712121066
25,14,2115.107987745784
54,0,1825.9269383976803
24,5,3381.3831308119975
24,6,3004.8330439940637
75,4,3730.312931269811
46,1,2118.832326098367
59,12,2360.3243739379823
43,14,3021.6373607590067
51,11,2067.17601518288
32,13,2704.477545602294
21,3,2249.1308311266584
65,9,2045.8639319278423
54,8,1560.0984218599726
20,2,3446.344582021372
37,6,2970.469651095022
71,1,2476.0201538938404
65,1,3675.4239271666147
45,14,1601.9432449918645
58,14,1829.3584608242988
34,11,3105.0940185749378
70,0,1711.3539194479733
68,0,2942.0219121565797
70,14,1744.856501204052
62,5,1802.1191765091048
62,8,2841.1870906928343
75,11,2547.4737943559
35,11,2095.8821560482975
54,8,2720.7830904910334
37,11,2183.6051927064714
41,12,2469.6056390323683
47,10,3248.1934768943156
32,6,2826.788399036816
51,6,2504.231604426831
52,11,2171.9162746252337
34,6,2248.1180097075503
30,12,2954.2824005989664
75,12,3643.714100541139
25,3,2012.751302053201
65,8,2005.3360960275752
19,9,2483.701096923251
56,5,2863.6392686793383
38,12,2790.49199068703
24,9,2812.9829939388233
45,14,2693.244356135884
63,9,2139.8147140220244
50,14,2531.5409566663625
42,8,2977.5908461290655
30,3,2766.6632369149256
43,4,1043.9201470457
43,3,2873.641185083419
47,11,2933.241887614867
42,4,2404.1121128210243
54,14,2854.8156187867257
79,3,1792.319952582754
53,9,3322.446067359125
35,2,2475.514367666526
52,13,2466.929303572293
31,3,2879.038283936572
78,8,2752.8316111418108
54,9,2300.890791673441
20,3,2766.4717468266062
21,1,978.5565708478778
59,3,3547.4015391307785
57,13,3202.9050961331122
35,14,2782.2244777350497
36,0,2390.127388312299
25,5,2119.5682338006113
28,13,2836.014159562561
39,2,1578.6423739433671
75,2,2250.3903238587827
33,2,1908.9479741115956
53,11,3051.9464581033503
25,13,1471.417085520814
65,10,1367.4947905645713
34,12,2379.2871931401382
38,1,2638.091433089109
33,2,2524.614446077777
40,13,2711.381902051643
49,6,2099.3900552558043
66,9,2948.1145728526517
59,8,3240.984596333955
68,1,2547.872732755826
64,11,3642.4867373480956
27,4,2884.9500886761234
65,2,2820.0950616965483
19,7,2442.6919908149985
35,8,1857.0826742866236
76,9,2332.378919506208
45,5,2626.878249328016
79,7,2949.1888209695207
52,7,2575.10295073041
69,5,2711.003909965257
54,8,2717.7749811977187
66,9,3245.811191806166
27,11,3697.87824729773
77,5,1468.4882628370408
70,10,1850.628357716578
39,14,3265.051688948566
40,3,2926.8576621125153
20,5,2919.9233214885526
61,1,1982.9102382947933
69,5,2177.369331417379
35,3,1771.8592775244251
74,2,1875.134811990205
63,12,2756.56828082288
56,0,2379.740113479398
50,10,2384.332780652439
31,5,3099.8484765377316
20,3,2522.7697112848828
73,13,3013.932582470907
54,10,2457.409392287781
65,3,2469.279977914306
44,4,2396.213016177737
68,2,3431.9215236661257
60,7,2127.4472295111227
66,14,3124.2013954808435
57,14,2171.903413334561
56,1,2744.7241628624665
41,7,2581.6174061989486
65,14,3667.8400701761534
33,6,2689.5287126559233
33,12,1395.3582795933048
40,8,2103.2007407493206
41,1,2990.625405358165
64,1,2548.3066235071706
71,4,1567.1922199792152
37,11,2782.2478437793534
65,8,2912.659303338709
47,14,2235.470193052316
45,3,2940.208525699778
49,13,1853.4043834892448
29,14,2125.2457992523755
56,12,2609.9065321703124
72,13,2604.618414723502
49,0,3129.3758409174284
31,3,2184.239765026323
64,8,2401.395982634276
55,8,2550.8454282560315
41,10,1429.0442997989032
27,1,2005.8930393563753
35,7,1776.3840387586522
77,10,3062.823967628542
61,14,2087.9246795163385
64,5,2791.9704937057936
65,4,1782.644306933381
35,12,2843.321747679155
73,12,2574.4153787502814
19,5,3041.9570131409623
36,12,2455.1021887017046
33,11,1720.2177938808281
79,0,974.8464258665585
74,6,2888.15999669974
56,7,2501.394808837196
37,9,2043.2266983132981
62,4,1784.2109629010272
30,5,2531.619592998166
39,2,1878.684845231909
30,14,2218.4927054531163
56,11,2598.728183580502
47,12,1780.0927187176162
49,9,4026.062472891815
71,10,1088.1139090126255
54,13,2107.6341455071893
22,5,2558.7773858417618
37,1,3409.8754190657464
42,2,2023.999674478549
64,3,2974.4191216154272
54,10,2912.5178078760505
35,0,771.7750704676423
30,5,2106.543480883933
38,11,2484.6006977283714
29,10,1925.313201112045
23,12,1726.9991520705591
71,1,2105.198403867288
34,10,3021.4543774429667
39,10,2913.635656970783
73,5,2802.602326655516
78,10,2266.0370954694445
31,10,1893.8061052455237
27,13,3379.1245171239616
65,0,1411.2207239195443
30,9,2887.403029055842
28,12,2603.2710683156056
68,14,1721.3921092632816
47,8,1774.0414224633516
34,8,3686.8032110558875
23,11,2938.014422832454
49,6,1522.5568617085455
34,0,2723.888126284728
26,0,2038.1177083090295
52,2,2391.0413204041433
19,4,3220.8082829535456
30,10,1515.5037483577335
60,0,2397.0515843211683
19,8,2604.6144933659725
60,3,3523.141758314297
25,0,3227.8565560161665
65,13,2035.9793526798467
74,7,2461.3203486826683
76,13,1728.1867877604473
32,9,1669.869924559415
72,3,2003.2419554437472
19,4,2298.272009003441
34,1,1958.0648265459774
44,7,2745.317456080148
24,3,3096.6210565744723
57,5,1401.5033628659608
49,13,2531.0804488972794
46,8,1759.7772403547124
65,12,2725.184431230048
45,1,2322.170554990852
29,5,2701.5450240693854
48,3,2606.0059737518263
79,9,2763.4596535011196
28,11,3102.4163215791787
63,3,1545.9749594401724
63,10,2265.3132970118018
77,5,2235.9007209514766
43,7,2595.1338359529436
34,7,2841.0564341916515
72,3,3324.334290809174
35,7,3176.088783040748
34,1,2321.5435465844903
69,13,2867.216274251716
28,13,2243.2488801843497
71,13,3583.412220980913
61,0,2088.0623841532783
35,4,1960.2873804265778
32,3,1997.2330849775362
48,12,1233.020667843606
31,1,2409.2272385457995
50,0,2476.228256511992
34,12,1389.3363763127052
31,7,2790.248656397897
79,4,1770.527190422532
55,11,2925.7856560975442
38,13,3264.938732192074
49,6,2421.435281244987
56,2,2282.4405936328203
70,4,1654.3929074716398
26,12,2912.921477862695
58,3,1788.3980642609308
78,9,2570.437823867974
69,5,2060.46769570456
32,11,2257.9129493977134
34,11,1897.4330219012627
65,3,2012.3122438867713
73,4,2009.006665036807
22,0,2900.101073047691
23,14,3352.0621962250702
77,4,1754.3229096301698
40,4,2013.2628045800577
50,12,2696.7817060465013
21,12,2240.477897211258
54,1,2675.7579738514437
48,12,2608.6779039815237
42,8,2905.3781074789695
34,11,2139.372703247551
47,10,2173.0531539231483
47,3,2424.8331515332357
56,13,2288.003356105473
71,4,2596.8437351106895
51,2,1099.9543421200603
56,5,2095.673041322847
79,8,3072.5535622960556
77,10,1925.3351752576957
29,14,1943.4668569386206
22,1,3537.7284974643944
69,4,1493.3481061457928
22,10,2891.862231286286
43,5,2527.742843923609
39,14,2616.767025212672
36,6,2613.784555933371
70,10,2239.043108101293
19,3,3646.9495260428293
78,7,2411.4084750525335
35,0,2780.404379827509
56,8,2005.116804367622
58,3,2134.1534890029643
31,8,3499.949869203697
60,7,1597.4602216849555
78,5,3697.759347382431
48,8,3132.621262298386
35,13,3341.578113295508
36,3,2505.340337196768
38,2,1765.462568695083
46,9,2635.4352847378036
72,7,2297.930217230301
39,6,1944.0322455781122
46,13,2520.103976730859
56,4,3321.552205689709
71,3,1284.5666864915083
47,2,3040.639004517414
73,4,2724.529253778344
71,1,3582.5288086298824
69,1,1973.7580814508492
55,1,3167.209939735855
58,11,2621.277917118892
32,11,2024.132979305066
50,13,2837.5070657559377
71,6,2006.7950659299927
75,2,2586.0087678634145
40,7,2490.7305110643947
77,10,2331.3692032878175
29,0,1986.4476715044232
77,8,1694.8480368333467
42,3,2142.6139212630137
69,1,2307.877371200608
43,7,1581.9760647605124
21,12,1583.0304557363831
42,0,1445.531599186643
41,9,3139.792849872779
44,1,2358.2762406889656
41,3,2074.2467434420328
49,12,2056.5923724361364
57,10,3077.4156265880592
47,6,2924.636352882689
65,0,2477.503817958
51,12,2381.8589112935338
49,7,3191.0546895599255
67,7,1909.610249521037
79,3,2190.083012570657
29,6,2340.0978371407323
63,6,2545.157788423439
38,13,2503.232722899211
55,0,3267.0118198074492
55,1,1344.6227569026144
78,13,3805.558786313176
62,14,1957.7060429512887
68,11,2664.8881915921697
60,0,2137.4841859778635
52,8,2214.3015961970514
63,11,2248.6111083648
72,3,2983.482382783293
57,12,1962.831655919405
36,5,1721.7399741909271
37,13,2657.3784763836034
37,10,2268.2396494817954
23,10,1926.2739248951643
53,1,3285.303133042706
41,2,3507.7020639868706
58,6,1520.1995491209302
42,6,1854.3419068612548
53,9,2154.6529317131944
69,13,3111.5371503671913
53,6,2363.7922642002777
62,4,2808.84192624014
60,0,2511.01026606898
63,0,3002.0119653568067
20,7,2217.542314778586
79,0,1886.0256413088587
18,12,3710.1243555008364
70,8,3630.914282333174
53,8,2417.782256965518
76,2,1716.2617079639917
29,14,4287.477535212633
19,12,2782.179591006933
73,1,1545.5677817642745
54,11,3257.7813928693495
56,12,1903.79535974917
43,4,2369.1899620006443
77,0,2774.267993919691
54,5,2850.19695372629
50,4,3266.4343548027637
18,3,2451.2647720437067
23,2,2918.803819240582
35,4,1746.3792582121896
42,7,4177.50841443558
57,9,3404.680283641904
64,11,1520.2380126780613
31,11,2409.09898416308
66,7,2490.0900704693736
53,11,2151.3249810536795
52,7,2203.6309895160384
68,11,2782.6121468813376
34,7,4007.3724953659807
59,9,2720.0004307374516
67,11,2012.570448087672
33,5,2099.222482652858
19,12,2627.8811068779287
60,13,1898.053925043496
39,14,2404.4412767629065
37,1,2154.882472985771
21,3,2825.063385072305
43,10,2026.4242009750826
43,4,2252.896280321614
77,8,2327.527416394132
31,0,2343.477793926644
38,12,2378.7804808213336
25,13,944.1189329553094
56,0,2048.52436257377
20,0,2463.041423951328
74,9,2731.4455477282177
23,5,1707.4358548739046
19,1,2406.237022160756
64,5,2946.5709335875863
58,5,2457.1735274892585
47,13,2155.4905598999894
66,5,2150.510581788009
67,9,3039.5374814923675
22,0,2466.0475489987352
77,0,2051.8429364763956
37,12,1768.805778175649
63,9,3102.8549780758663
79,9,2692.6939398348673
40,10,3436.6070185545805
65,8,2317.9326338164296
51,5,2435.7127823984874
56,2,1884.3276278623848
67,6,2178.19262194363
34,14,3724.144102931633
18,1,2318.0636325736878
21,11,1694.6578078350924
39,13,2332.9597552576784
20,8,2320.614764817752
45,2,3013.710971134122
56,14,1722.1650376863279
43,5,2102.277161907688
18,1,2751.124666781877
70,7,2864.8116538528834
23,12,1725.6819508432998
30,11,1670.8009103643699
63,7,2129.9353983383676
79,4,2356.9452300247963
68,13,2260.387381799682
57,6,3183.477100434775
72,1,1400.9038438832392
64,12,2820.037874328759
22,13,3023.5605279777305
54,8,2270.138971273096
27,10,3062.964136472521
58,14,3515.3851520062226
48,4,2524.1089348058767
77,13,2817.706205556649
58,13,2268.717522711816
60,8,2109.668127799568
31,9,2205.9003159343556
33,12,2733.510315730921
24,2,2508.302724870034
57,8,3755.974549298632
73,11,1167.828839857986
71,12,2320.524414732305
61,11,2721.2228730513984
41,1,2258.6311366960986
43,11,3104.820669623782
60,6,2278.3856440256322
71,6,2265.7126604672876
38,13,2609.1057109236976
29,14,2653.8683794069157
53,0,3297.8107035748167
40,14,2737.356792375316
42,2,2402.467521481175
79,1,2476.3574771150056
25,14,3077.390222305701
72,4,2641.264438984838
57,14,2406.0390178193566
57,12,1095.704216315982
65,0,2026.912385321515
21,2,2092.2975225868086
33,14,1829.5712605141202
32,4,1861.8398099843716
33,0,2141.0183661961473
21,14,1945.872664944978
54,12,2504.963831424221
24,3,1072.350919462634
61,11,2138.5284587177316
37,12,2658.1300440505415
46,11,2868.0451849221236
43,7,2606.8380138985226
51,12,2706.6661360575445
34,12,1823.5231165669074
59,0,2268.5087122014015
64,5,2255.174171256736
32,12,1646.7188760796312
50,10,2611.5300113543854
49,13,2064.828873058027
43,7,2601.3173620806283
63,2,2279.057782225453
27,9,2039.6596535197118
61,5,2937.2952885120017
36,10,2861.0498807617428
66,5,2458.1462950578034
30,14,1779.637939528176
28,14,2836.2068884413675
55,14,1943.032278982293
62,6,2738.6495774205873
56,11,1878.5309895467622
48,4,2638.6095694731075
39,8,2506.963727031073
53,4,1517.518361413286
46,1,1119.6621261925475
71,11,2424.017836102647
54,9,3240.1901990908837
73,4,3392.3293635551177
40,3,2459.3322844874147
46,11,2020.7342926809738
66,10,2885.75901567662
30,7,2987.312678775695
19,12,2380.227781093827
26,10,2448.866732994169
74,12,2222.2555018837647
31,8,1250.6139714519309
65,0,2521.814770854424
18,13,2312.506573788755
64,3,2115.639957167712
49,2,2870.5120760121517
43,2,2574.3675003885783
40,7,2306.7225849707047
28,4,1868.9864737207897
23,10,1844.6633628745572
34,6,2387.18401403238
50,11,1560.295757664689
42,9,1838.2833820005967
58,1,2856.115560943312
35,4,1525.438834878626
43,7,2597.057380916977
51,12,2667.6040816996206
64,2,1587.2989417561607
51,4,1939.7037953892445
40,8,4379.494433600994
49,8,2314.6581190461025
28,4,2613.544055248548
55,8,2838.3635447177808
47,9,1741.091266239261
27,6,2017.9346531592207
41,8,1617.4571728026556
66,3,2678.304456074512
54,10,2137.4108220358085
35,7,3431.233273275692
78,12,4053.8721593320824
79,10,3527.957317723868
21,1,2572.1876794050963
18,3,2356.79963767731
51,11,2396.8389616589334
75,0,3389.284821023072
67,3,2549.5222376986317
44,7,3226.9518393440326
44,14,2673.3125834813973
69,7,2779.043482179751
46,5,3067.9858505594807
44,7,1769.685348904243
38,8,3406.6167544494983
36,9,1647.5220787656622
46,7,2461.7273264962264
61,11,2458.7693642610216
28,1,2537.6403230463716
46,10,2710.4185664760357
61,12,2025.321862775309
58,6,1892.4302890660424
49,5,2332.3059945290393
38,0,2833.450047301653
53,11,1938.9303604784127
31,12,3107.190506519346
44,0,2402.2036982378486
20,14,3424.930042050576
60,10,2658.4312483389403
54,10,2525.1626231726373
31,2,2389.3140543551804
69,0,1926.5309355647182
36,5,2811.8281055705233
48,14,3480.401718724369
24,4,2028.6327658772932
29,7,1966.3161281995517
77,2,3335.084005780447
78,8,3468.102441440703
50,0,3616.416732820014
65,12,2766.6597939416097
25,13,2154.933217279192
42,2,2018.9246548437218
70,12,2623.857631889142
69,12,3184.779512740697
50,2,2465.753116732455
68,14,3244.691514678066
74,8,3102.8642962786716
37,3,2588.2717877678692
39,13,2699.1308930779887
56,6,1489.66475623003
51,14,3305.620833507609
35,8,1625.467101977757
79,12,1480.0392110845264
36,2,3792.5720553595984
49,2,3113.0473944043565
23,0,1717.9155832654496
71,4,4108.463197878024
34,4,1779.8538028084286
37,5,3024.076051825634
53,7,1473.603782132339
73,1,3047.233132429603
54,14,2116.1143842261563
22,2,3456.215905553256
39,8,2698.88160249497
21,5,2628.9089842899884
61,11,1559.7299744551901
29,11,2544.279053476717
19,2,2702.052597743435
37,9,2244.443088031604
33,8,2807.598062369977
61,10,2112.8994308673177
75,0,968.6545858612421
34,8,1959.096536810791
79,11,2379.9795161908964
56,0,1407.4971034899784
65,2,2393.307770311524
45,7,2267.7455378111517
48,5,2395.9966777673403
57,12,2280.5060794358837
18,12,2541.153311585634
75,8,2689.8685317699164
20,8,3157.0733817804676
73,9,1527.706471069302
41,12,2182.9929386844137
26,0,381.92935860484977
62,2,2889.1435348032896
64,8,1762.6773391102433
58,13,1391.8808595591397
55,11,1623.1333625815173
79,5,2613.707509564301
67,6,2604.2706736638697
34,5,2146.681328258143
61,14,1972.193461013838
21,14,2579.972943633
42,11,2449.2816617564977
19,6,1746.40012809898
71,3,2285.7435102338836
66,7,2441.263218191271
26,4,2279.850252206714
50,8,2124.2645892479186
51,14,2857.8430164603888
21,8,2783.5106364140356
73,10,1434.4168993970138
70,12,2427.127697859382
44,0,2685.0741247668516
30,1,2852.5020578003646
56,8,1153.7537406942693
32,14,2459.4806501242533
55,8,2326.7064094795755
65,7,2588.577041127766
58,11,2471.3129525582713
34,10,2765.859672157912
73,13,2512.653292672408
49,13,2616.141507969561
66,6,2259.652295414269
71,13,1372.1828316999338
33,1,3419.0783546268954
36,11,2404.211389815361
64,9,2190.349750843099
76,9,2469.707656984827
59,10,2475.338655792652
42,2,3810.396125282309
20,12,3297.705363236805
54,9,4032.8148053467366
50,10,2436.052496321919
39,11,2815.640780701435
21,13,2567.522718718661
61,3,1992.236119663486
52,1,2856.450302255242
18,14,2222.614626806484
67,7,2861.3370287652697
77,11,3335.421325909761
57,2,1879.2251370555462
37,14,2307.813038548666
47,5,1843.9469636364095
34,10,3467.7248486204
69,6,2812.157738319368
55,11,2389.191590441381
45,10,1576.4504779373237
56,14,3061.2677626329687
27,4,1475.4557774617379
63,3,2241.456173948431
21,9,2489.6205036786005
70,5,987.2289896120571
74,7,2657.6724259698094
68,2,3079.177918259964
26,3,2848.1700256226654
22,14,2087.9366394524277
24,14,2380.0040159914815
35,9,3181.0681697001023
37,3,1660.3767141500293
79,6,2965.8526552495573
45,12,2564.0919989043587
72,14,3220.755028195641
57,4,1454.5250591936378
35,6,2791.4635770296054
25,14,3604.534350039511
68,4,726.2066691514415
26,13,2215.002033754116
35,7,2845.432748370896
48,5,2785.733653056776
46,1,2321.578559669742
64,10,3087.3414836893717
19,5,874.4942455766798
70,6,2570.233763810745
73,11,1357.09673244541
44,10,2147.355627346238
42,7,1875.1676999014035
64,5,2497.166591642036
49,11,2713.8469272461675
38,3,666.4916962575646
48,8,1374.8055550730041
35,8,3438.880019882463
66,1,2936.1052332122745
37,7,2379.943032079263
77,6,3825.695894139466
56,8,2227.999103396911
59,14,2267.521161345299
23,11,1541.854519457458
77,0,2993.1117156251953
76,14,2288.6043908582556
55,5,1773.7617529749368
33,9,2683.8262033993637
34,14,2798.862861139831
32,9,2006.74614079374
69,11,2693.012589865462
70,8,2574.6477867849544
46,13,1219.314942076507
40,14,2575.0952432281365
27,8,2181.676242229081
54,5,2092.40399919065
33,12,1969.2050114919198
65,12,2955.914690893149
35,12,2107.719584336782
51,10,2496.2587773820924
21,14,2160.6273867333284
21,13,2048.6901785268847
55,9,2035.0339698817793
64,6,2535.8364402202355
70,7,2984.995881573964
62,13,2691.941608558514
24,12,2374.6097190219502
32,1,2911.8244884273136
36,12,2510.300837352237
42,8,2205.157059236518
56,11,2016.5425389989828
73,11,2288.7497845104745
56,5,2005.8477053122272
63,9,2303.814549841991
20,1,2667.067900352716
31,7,2340.809026678153
46,4,2473.5125243466177
22,4,2635.956467047799
36,5,2400.0588712282274
61,9,2197.987823591792
28,10,2564.841737828249
27,10,2460.8711482520375
34,7,2883.7679277200054
18,11,2187.51861063426
18,2,2732.041936796606
48,8,2743.4202622632483
42,1,2599.667246561245
69,3,2029.9361123338595
22,8,2697.1208272099784
72,14,2838.912630720737
46,1,2456.3014102723464
66,10,2203.154117971185
51,3,2917.0749453150815
38,2,1638.459539345367
61,12,1959.7445484125124
66,5,3060.7352462521535
32,7,2488.1910182760657
60,14,2763.997493743677
26,5,2550.503341625201
27,0,1872.9840673492938
30,14,2614.3340289389175
23,9,3804.668882030719
26,1,2549.750123968424
79,1,2116.5036078723274
53,5,2764.2427057975974
37,3,2679.113669364959
69,13,1836.852976038061
31,2,3048.7737047452683
24,2,3598.4352927344908
59,5,1519.0641677786457
50,13,2153.784223557144
25,11,2466.533268355987
67,8,2533.7675093888
38,1,1903.7409337431081
52,10,2310.31620052765
76,4,2915.5176002125627
45,6,3243.26597062099
32,2,3235.873522699315
55,7,997.9230914130944
52,5,2862.1873106599487
32,2,1534.2924695976099
71,2,2466.7435163434952
57,10,2649.770485047967
42,10,664.2341660289428
66,1,3496.821530894565
32,2,2399.9696069372394
32,2,2977.3521505817157
30,6,3097.859978624154
76,3,1746.6078092442813
22,6,2856.4787241111894
64,12,1274.5052403275856
48,3,2662.830060563836
67,4,2340.9884578034466
21,8,2188.5031877259644
23,10,1893.0347809494908
73,2,3299.5818018058776
52,0,2773.165527042709
20,1,2330.648171005819
77,3,2891.2579537486986
31,11,2619.792601144267
42,13,1789.0453344868183
45,6,433.2557503842959
48,14,2741.0806566458386
47,6,2024.3311520232728
54,4,1790.6743978924137
33,0,3407.8083758150997
53,8,3420.3216000750917
32,3,2301.323783999315
31,3,2281.2494324955396
27,4,2951.76886403399
62,11,3214.2081245105546
61,5,1527.1922412627434
73,2,2894.0809982415935
72,9,1300.7800634269372
53,4,2347.674782286639
44,0,2525.398901107858
66,14,2060.6185213789386
51,12,3109.8957351079343
54,1,2658.8392185609073
75,5,2490.893244197292
41,7,2590.0430978048107
57,5,2719.108188853092
48,2,2147.5500033536346
35,4,3592.7310409327697
59,6,1800.6225726477662
48,10,3485.589499391811
55,10,2470.316788668618
44,14,2871.929069667002
38,0,1730.8723673833124
41,13,1723.718579733187
49,9,3896.1511019583745
39,12,2796.869446569718
31,11,4047.399172399312
57,8,1844.3606688320458
61,6,2978.240593981968
52,8,3025.6400958681006
53,10,1644.2022860201455
78,9,3793.9372513523895
47,11,3802.3656521616886
62,8,2508.8166264037222
62,7,2254.656724841879
34,14,1984.9251938402113
21,2,1947.3388704651777
73,11,2537.5100372807274
74,3,2115.0506056912895
55,0,3138.34583748936
38,5,1812.154142666299
43,10,2461.329338807235
52,12,4684.187873622998
28,13,2233.914535192083
31,6,2466.216548484709
74,9,2694.027232955262
49,14,2333.033279363727
47,1,3091.2830113218356
25,8,1788.0509425061937
23,5,2116.996976943575
23,4,2978.9811572696763
22,0,2349.3021436619383
48,9,1487.6539753657976
55,12,2647.5009146418897
73,13,2919.0094254656974
40,4,3396.883889689525
18,6,1873.2359377689645
72,10,2779.468443789204
71,3,1764.2119914296882
64,14,2546.848645890528
59,9,1688.5198926190606
75,2,2298.2925347736486
69,3,3064.8597955988066
